Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
56B,4,64,150,14364.702,3380.813,1301.026,835.984,889.029,632.545,White LED,25 mA,b'OK Read',9:56:34
56B,4,64,150,26738.421,6243.259,2267.555,1362.402,1400.526,921.359,White LED,50 mA,b'OK Read',9:56:35
56B,4,64,150,31891.549,7413.54,2687.062,1588.683,1604.081,1041.36,White LED,100 mA,b'OK Read',9:56:36
56B,4,64,200,7466.179,1793.641,760.934,533.883,588.482,450.002,White LED,12.5 mA,b'OK Read',9:56:38
56B,4,64,200,14353.348,3383.01,1298.716,835.591,874.241,631.528,White LED,25 mA,b'OK Read',9:56:39
56B,4,64,200,26670.303,6266.541,2273.099,1369.473,1409.225,932.037,White LED,50 mA,b'OK Read',9:56:40
56B,4,64,200,31906.487,7436.823,2705.543,1606.362,1620.609,1061.699,White LED,100 mA,b'OK Read',9:56:42
56B,4,64,250,7464.386,1798.649,768.418,545.904,604.401,468.612,White LED,12.5 mA,b'OK Read',9:56:43
56B,4,64,250,14342.234,3383.273,1294.003,827.812,876.851,621.155,White LED,25 mA,b'OK Read',9:56:44
56B,4,64,250,26632.299,6221.47,2258.685,1351.088,1372.689,905.495,White LED,50 mA,b'OK Read',9:56:46
56B,4,64,250,31924.055,7450.792,2707.76,1600.94,1588.771,1049.495,White LED,100 mA,b'OK Read',9:56:47
56C,1,64,50,9436.247,2730.657,837.166,579.846,652.419,469.832,White LED,12.5 mA,b'OK Read',9:56:59
56C,1,64,50,18126.771,5139.75,1463.655,942.839,1022.993,707.799,White LED,25 mA,b'OK Read',9:57:00
56C,1,64,50,33901.651,9546.756,2605.749,1607.541,1701.508,1128.818,White LED,50 mA,b'OK Read',9:57:01
56C,1,64,50,40003.662,11180.933,3060.368,1866.821,1957.257,1287.463,White LED,100 mA,b'OK Read',9:57:02
56C,1,64,100,9386.054,2722.75,842.71,582.203,649.809,472.883,White LED,12.5 mA,b'OK Read',9:57:03
56C,1,64,100,18051.482,5139.75,1460.882,942.839,1022.993,704.749,White LED,25 mA,b'OK Read',9:57:05
56C,1,64,100,33622.007,9523.034,2602.976,1605.183,1696.289,1122.716,White LED,50 mA,b'OK Read',9:57:06
56C,1,64,100,39910.447,11238.92,3079.773,1885.678,1962.476,1293.564,White LED,100 mA,b'OK Read',9:57:07
