Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
12C,1,64,50,12555.523,9031.425,21410.974,23218.443,33723.149,17950.014,White LED,50 mA,b'OK Read',09:53:50
12C,1,64,50,16313.959,11528.312,27465.52,29824.429,43205.279,22860.476,White LED,100 mA,b'OK Read',09:53:51
12C,1,64,100,3541.151,2496.887,5783.486,6313.495,9501.008,5522.552,White LED,12.5 mA,b'OK Read',09:53:52
12C,1,64,100,6826.846,4820.211,11261.024,12279.807,18112.329,9976.815,White LED,25 mA,b'OK Read',09:53:53
12C,1,64,100,12523.224,9010.109,21333.147,22935.466,33050.576,17415.869,White LED,50 mA,b'OK Read',09:53:54
12C,1,64,100,15274.516,11220.768,27664.119,29641.326,42636.538,22161.275,White LED,100 mA,b'OK Read',09:53:55
12C,1,64,150,3396.294,2444.108,5816.586,6277.825,9420.771,5434.674,White LED,12.5 mA,b'OK Read',09:53:56
12C,1,64,150,6649.69,4727.846,11334.38,12230.663,17993.547,9799.531,White LED,25 mA,b'OK Read',09:53:57
12C,1,64,150,12473.307,8842.635,21292.889,22941.014,33314.098,17578.635,White LED,50 mA,b'OK Read',09:53:58
12C,1,64,150,16096.675,11361.853,27603.285,29721.383,42985.02,22487.568,White LED,100 mA,b'OK Read',09:53:59
12C,1,64,200,3472.149,2446.645,5802.272,6277.826,9446.73,5444.608,White LED,12.5 mA,b'OK Read',09:54:00
12C,1,64,200,6675.627,4728.861,11332.143,12219.17,17970.734,9776.224,White LED,25 mA,b'OK Read',09:54:01
12C,1,64,200,12267.768,8819.798,21270.078,22861.748,33075.354,17403.26,White LED,50 mA,b'OK Read',09:54:03
12C,1,64,200,16058.502,11377.586,27601.05,29674.617,42761.616,22330.918,White LED,100 mA,b'OK Read',09:54:04
12C,1,64,250,3433.096,2440.86,5805.493,6271.167,9412.275,5422.142,White LED,12.5 mA,b'OK Read',09:54:06
12C,1,64,250,6640.685,4730.688,11315.772,12204.664,17926.84,9754.904,White LED,25 mA,b'OK Read',09:54:08
12C,1,64,250,12346.46,8823.147,21209.156,22834.164,33072.758,17436.502,White LED,50 mA,b'OK Read',09:54:09
12C,1,64,250,16121.339,11383.37,27558.914,29668.434,42790.879,22378.143,White LED,100 mA,b'OK Read',09:54:11
12C,2,64,50,3476.552,2472.528,5818.374,6306.361,9434.931,5355.202,White LED,12.5 mA,b'OK Read',09:54:16
12C,2,64,50,6700.586,4768.446,11373.742,12279.807,18072.211,9825.512,White LED,25 mA,b'OK Read',09:54:17
