Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
38C,2,64,150,31186.458,5904.123,2807.186,1865.249,1938.119,1250.852,White LED,50 mA,b'OK Read',09:49:03
38C,2,64,150,40871.279,7745.647,3655.44,2372.811,2336.53,1496.955,White LED,100 mA,b'OK Read',09:49:04
38C,2,64,200,8636.747,1632.859,888.449,662.344,824.658,514.07,White LED,12.5 mA,b'OK Read',09:49:05
38C,2,64,200,16755.432,3135.247,1589.784,1126.692,1223.938,854.24,White LED,25 mA,b'OK Read',09:49:06
38C,2,64,200,31135.669,5883.037,2790.091,1847.964,1927.246,1240.174,White LED,50 mA,b'OK Read',09:49:07
38C,2,64,200,40858.733,7747.844,3656.364,2374.775,2396.987,1507.124,White LED,100 mA,b'OK Read',09:49:08
38C,2,64,250,8690.524,1632.068,948.049,744.843,841.36,638.24,White LED,12.5 mA,b'OK Read',09:49:10
38C,2,64,250,16722.807,3127.077,1582.299,1121.035,1224.46,850.58,White LED,25 mA,b'OK Read',09:49:11
38C,2,64,250,31047.832,5858.788,2772.073,1833.822,1921.765,1234.988,White LED,50 mA,b'OK Read',09:49:13
38C,2,64,250,40895.66,7725.967,3644.721,2359.925,2393.595,1501.023,White LED,100 mA,b'OK Read',09:49:15
38C,3,64,50,8762.229,1618.362,925.872,725.986,829.877,628.477,White LED,12.5 mA,b'OK Read',09:49:19
38C,3,64,50,16850.44,3126.023,1580.082,1117.264,1216.109,842.037,White LED,25 mA,b'OK Read',09:49:20
38C,3,64,50,31442.204,5904.123,2805.338,1852.678,1920.721,1232.547,White LED,50 mA,b'OK Read',09:49:21
38C,3,64,50,40842.598,7670.089,3598.15,2328.812,2369.585,1488.819,White LED,100 mA,b'OK Read',09:49:22
38C,3,64,100,8740.718,1636.813,936.961,733.057,827.267,622.375,White LED,12.5 mA,b'OK Read',09:49:23
38C,3,64,100,16811.003,3131.294,1574.537,1110.193,1205.67,832.885,White LED,25 mA,b'OK Read',09:49:24
38C,3,64,100,31327.478,5859.315,2758.212,1817.322,1905.063,1220.344,White LED,50 mA,b'OK Read',09:49:25
38C,3,64,100,40982.422,7654.274,3587.062,2314.669,2359.147,1476.616,White LED,100 mA,b'OK Read',09:49:27
38C,3,64,150,8721.597,1625.391,927.72,722.843,814.219,614.24,White LED,12.5 mA,b'OK Read',09:49:28
38C,3,64,150,16781.126,3117.236,1563.449,1096.836,1196.971,823.732,White LED,25 mA,b'OK Read',09:49:29
38C,3,64,150,31243.822,5839.108,2744.352,1805.536,1892.885,1210.174,White LED,50 mA,b'OK Read',09:49:30
38C,3,64,150,40928.643,7661.303,3592.606,2314.669,2353.928,1474.582,White LED,100 mA,b'OK Read',09:49:31
38C,3,64,200,8717.414,1620.998,925.872,718.915,809,610.172,White LED,12.5 mA,b'OK Read',09:49:32
38C,3,64,200,16753.64,3111.526,1559.291,1094.872,1192.622,822.207,White LED,25 mA,b'OK Read',09:49:33
38C,3,64,200,31141.047,5826.368,2734.65,1797.286,1890.71,1208.14,White LED,50 mA,b'OK Read',09:49:34
38C,3,64,200,40901.755,7664.817,3591.22,2312.312,2356.537,1473.565,White LED,100 mA,b'OK Read',09:49:35
38C,3,64,250,8707.733,1619.417,923.655,716.558,807.956,610.172,White LED,12.5 mA,b'OK Read',09:49:37
38C,3,64,250,16740.016,3111.262,1554.578,1090.864,1190.012,820.071,White LED,25 mA,b'OK Read',09:49:39
38C,3,64,250,31016.283,5814.507,2724.393,1789.508,1886.274,1202.039,White LED,50 mA,b'OK Read',09:49:40
