Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
38C,3,64,200,9647.141,7448.032,15800.591,15245.129,13975.402,4445.093,White LED,12.5 mA,b'OK Read',10:02:10
38C,3,64,200,18680.598,14411.913,30867.175,29749.521,27136.633,8519.952,White LED,25 mA,b'OK Read',10:02:11
38C,3,64,200,34997.493,26957.249,57993.203,55819.146,50696.821,15808.85,White LED,50 mA,b'OK Read',10:02:12
38C,3,64,200,42879.932,32887.356,71221.416,68563.843,62170.718,19395.414,White LED,100 mA,b'OK Read',10:02:13
38C,3,64,250,9633.34,7401.748,15814.815,15237.995,13982.954,4423.543,White LED,12.5 mA,b'OK Read',10:02:14
38C,3,64,250,18674.727,14393.033,30857.783,29730.26,27120.115,8505.968,White LED,25 mA,b'OK Read',10:02:15
38C,3,64,250,34987.512,26917.664,57845.594,55699.531,50565.375,15795.095,White LED,50 mA,b'OK Read',10:02:17
38C,3,64,250,42948.348,32883.398,70351.883,62335.953,61862.746,19377.762,White LED,100 mA,b'Saturated Read',10:02:19
38C,4,64,50,9854.148,7892.6,15823.403,15452.012,14069.798,4690.387,White LED,12.5 mA,b'OK Read',10:02:42
38C,4,64,50,18921.373,14853.435,31093.952,30066.98,27379.704,8757.222,White LED,25 mA,b'OK Read',10:02:44
